epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.07547058815903523,0.8094308972358704,0.08466136950780363,0.8426181533757378,0.09766666640837987,0.8094308972358704,0.06822017754117647,0.8361732045809428
1,0.097764705669354,0.8094308968852548,0.0623888645101996,0.8338873333790723,0.1343333337455988,0.8094308952490489,0.06838302661975225,0.8362370431423187
2,0.1275294116095585,0.7876441324458403,0.06212850934004083,0.8119985054521,0.2906666691104571,0.4982220729192098,0.06686419198910395,0.5244328300158183
3,0.4687058805104564,0.37483219819910385,0.05717447371605565,0.3972445906961665,0.7539999961853028,0.23182870944341025,0.05671974706153075,0.25406284977992377
4,0.7161176446606131,0.24405932847191306,0.05430010528687169,0.26534496878876407,0.859666661421458,0.15727526744206746,0.05563067210217317,0.17908249149719874
5,0.7774705862297732,0.20021856085342518,0.052438974314752744,0.22077463847749373,0.8723333279291788,0.13695391515890756,0.055118856579065324,0.15856050699949265
6,0.8080588235574611,0.1752028921071221,0.051166370532968464,0.19526010813081965,0.8966666678587596,0.11274759223063786,0.05430343970656395,0.13403453851739566
7,0.830411763050977,0.15483942180871962,0.050006595429252176,0.17444200691054848,0.914333333571752,0.10009877060850461,0.054348057880997655,0.12140320837497712
8,0.8485882352380192,0.13970995878472048,0.04912357043255778,0.15896639775703936,0.9223333338896433,0.08789972538749377,0.05375894953807195,0.1089732326567173
9,0.8662352944121642,0.12489983461358968,0.04806998795007958,0.1437432694961043,0.9303333381811778,0.07917106511692205,0.05329824934403102,0.10006397813558579
10,0.8837647069902981,0.11254635913407102,0.047365549425868424,0.13111365406828768,0.9303333381811778,0.07334254930416743,0.052962027862668036,0.09410366341471672
11,0.8928823551710914,0.10450750414062948,0.046956312174306195,0.12291437781908933,0.9406666696071625,0.06973850739498934,0.05259790929655234,0.0903568871319294
12,0.8989411802852855,0.09815094245269018,0.04637964685611865,0.11633176352171337,0.9440000037352244,0.06423478263119857,0.052264841894308724,0.08472260112563769
13,0.9074117671040928,0.09122859165072442,0.04588566150735406,0.10921577022356145,0.9500000019868214,0.05881038047373295,0.051935506612062456,0.07916909890870254
14,0.9148823541753432,0.08640140384873923,0.04539345058009905,0.10419563594109872,0.9526666680971781,0.05777552165091038,0.05153134688735008,0.07797580833236377
15,0.9211764721309438,0.08217085987767753,0.04499727619044921,0.09980979149832445,0.9476666629314423,0.0596445020288229,0.05141294983526071,0.0797983780503273
16,0.9208823544137618,0.07836085373864454,0.04457014246898539,0.09583234935998916,0.9490000029404958,0.05682497061789036,0.05090039658049742,0.07677792546649774
17,0.9275882380850174,0.07457776258096975,0.044062707419781126,0.0918503436314709,0.9566666702429454,0.05040712207555771,0.05032770646115144,0.0701355821142594
18,0.930117648489335,0.07094065794611679,0.04365100087050129,0.0880518500419224,0.9620000024636587,0.04768416142712037,0.05014784149825573,0.06734211469690005
19,0.9348235312630149,0.0694851801456774,0.043313846868627215,0.08646420768516905,0.9566666742165884,0.04800894918541113,0.05009948449830214,0.06764794724682967
20,0.9394117670900681,0.06542622341829188,0.043092836593003836,0.08231861512450611,0.9583333373069763,0.047689157413939635,0.049890696878234546,0.06724631004035472
21,0.9402352978201474,0.06527073823792093,0.04286704915849601,0.08207462121020345,0.9613333344459534,0.04567994649211566,0.049851061403751375,0.06522156186401844
22,0.9401176480685963,0.06342657195294604,0.042686887589447636,0.08015983150724103,0.9603333353996277,0.044759307118753595,0.049565883725881575,0.06418913279970487
23,0.9434705920079175,0.06184151422451524,0.04253605047569555,0.07851564537952928,0.9636666735013326,0.04263483335574468,0.04956233588357766,0.062063268447915716
24,0.9431176483631134,0.06174329845782588,0.042432586980216645,0.07837687200483154,0.9613333404064178,0.042098414587477845,0.04967920631170273,0.06157266323765119
25,0.943411763976602,0.06009895836605745,0.04232811702086645,0.07669158016934115,0.964000004529953,0.04228355518231789,0.04964391055206458,0.06174396773179372
26,0.9450588243849137,0.05893080713336959,0.04211060010335025,0.07543816209277686,0.9623333354791005,0.043243241123855115,0.04983281505604585,0.0627777044971784
27,0.9473529440515182,0.05791628446210833,0.04207530321882052,0.0744098025648033,0.9646666745344797,0.04154903050512075,0.04938424713909626,0.06090765483677387
28,0.9450000009116004,0.05759976878762245,0.04192389565355638,0.07403393552145537,0.9653333385785421,0.03990864691634973,0.04922498253484567,0.05920483991503715
29,0.947235292897505,0.056781652942299844,0.041863689264830424,0.07319221871302409,0.9636666695276896,0.0405923410008351,0.04937118974824747,0.05994584709405899
30,0.95005882452516,0.054835766006041974,0.041737646324669614,0.07119692298857605,0.9650000095367431,0.04040896464139223,0.04930773340165615,0.05973759504655997
31,0.9473529405453626,0.05600183411117862,0.04166429768152097,0.07233423831708291,0.9646666685740153,0.039968155014018215,0.049325792615612346,0.05930386496086915
32,0.949117648601532,0.05461072815472589,0.041731411481604856,0.07096944131395395,0.9636666675408682,0.03940738663077355,0.049277850737174354,0.058724303543567655
33,0.9503529436448042,0.05431255616028519,0.04158252157709178,0.07061290407882018,0.9673333426316579,0.039116671619315944,0.049302552143732706,0.058443271368741986
34,0.9508235314313103,0.05403431041494888,0.0415968673194156,0.07034028225085315,0.9666666746139526,0.0378252691278855,0.04917081284026305,0.05710022759934266
35,0.9507058844846837,0.05320414455936236,0.04154869399088271,0.06949123223038281,0.9676666756470998,0.03835639804601669,0.049031413967410724,0.05757671184837818
36,0.9507647055036882,0.05351080837495187,0.041495636675287696,0.06977709750918781,0.9666666726271311,0.037595941002170244,0.04910405750075976,0.056844731668631236
37,0.951235294342041,0.052914428458932565,0.041437887093600106,0.06915807986960691,0.9646666745344797,0.038400612647334735,0.04919749237596989,0.05768602912624677
38,0.9513529423405143,0.052452949916615206,0.041476206306148976,0.06871162227847998,0.9670000076293945,0.03828285696605841,0.04902584441006184,0.057500987375775976
39,0.9519411756711847,0.05255214221337262,0.04137818734435474,0.06877239118604099,0.9676666736602784,0.03707322347909212,0.048992101351420084,0.05627812681098779
40,0.9511176463435678,0.052796183745650684,0.04135047607123852,0.06900556946502012,0.9660000065962474,0.037303411153455576,0.048990342393517496,0.05650762505829334
41,0.952176473421209,0.05234878030331696,0.04142509907045785,0.06858741882092813,0.9680000066757202,0.03755076769739389,0.04900686244169871,0.056761457274357476
42,0.9519411798785714,0.05244064313523909,0.04131164397386944,0.06863480705548736,0.9666666746139526,0.037115365949769816,0.048985129967331884,0.0563175360361735
43,0.9522941193159888,0.052321575976469935,0.041315667177824415,0.0685173177105539,0.9676666756470998,0.03751389620204767,0.049000766749183335,0.056722196439901985
44,0.9517058856347028,0.052104606950546015,0.041308655808953675,0.0682975993875195,0.967333338658015,0.03713759599874417,0.04898409433662891,0.05633936040103436
45,0.9528235319782706,0.051225095099824314,0.04129903651773929,0.06741431712665978,0.9670000076293945,0.037000637874007224,0.04900415800511837,0.056210267419616385
46,0.9527058839797974,0.05176232905291459,0.04116553622571861,0.06789921874947408,0.9676666756470998,0.03705127108842134,0.04895186983048916,0.056240403652191163
47,0.9535882402868832,0.05153367374749745,0.04125532718265758,0.06770576150978312,0.9676666756470998,0.03689121616383394,0.04891536943614483,0.05606603982547919
48,0.9557058870792389,0.0495108346838285,0.04117878217469243,0.06565291686531376,0.9673333446184794,0.03711069698135058,0.048973956828316054,0.056308487554391225
49,0.952176473421209,0.051405163492788286,0.0412398458841969,0.0675711828557884,0.967000009616216,0.03712166734039783,0.048932117720445,0.05630305719872316
