,acc,l1,sparsity,time
0,0.7821,-7,0.0540435791015625,23.691848754882812
1,0.7776,-6,0.5313510894775391,23.5109224319458
2,0.7353,-5,0.9535869598388672,23.30511450767517
3,0.6556,-4,0.9986705780029297,23.671018838882446
4,0.6076,-3,0.9998176574707032,23.439589977264404
