,acc,l1,sparsity,time
0,0.9954,-7,0.13912828233506944,14.465860366821289
1,0.9961,-6,0.7413221571180556,14.682187557220459
2,0.9948,-5,0.97867431640625,13.007854223251343
3,0.9921,-4,0.9984965006510417,14.503715753555298
4,0.9751,-3,0.9998291015625,13.907570838928223
