,acc,l1,sparsity,time
0,0.7872,-7,0.006586456298828125,22.682430505752563
1,0.7757,-6,0.4006244659423828,23.114266872406006
2,0.738,-5,0.9244998931884766,22.438610315322876
3,0.659,-4,0.9982810974121094,23.233574867248535
4,0.6062,-3,0.9998115539550781,23.00433874130249
