,acc,l1,sparsity,time
0,0.2877,-7,0.05326652526855469,24.301116466522217
1,0.4463,-6,0.5208446502685546,24.464876651763916
2,0.5519,-5,0.9538417816162109,26.09376859664917
3,0.3722,-4,0.9985404968261719,23.20393395423889
4,0.1694,-3,0.9998302459716797,22.898418426513672
